ingroup
\\btogether\\b
\\bnation[[:lower:]]*
\\bhomeland[[:lower:]]*
\\bfamily\\b
\\bfamilies\\b
\\bfamilial\\b
\\bgroup\\b
\\bloyal[[:lower:]]*
\\bpatriot[[:lower:]]*
\\bcommunal\\b
\\bcommune[[:lower:]]*
\\bcommunit[[:lower:]]*
\\bcommunis[[:lower:]]*
\\bcomrad[[:lower:]]*
\\bcadre\\b
\\bcollectiv[[:lower:]]*
\\bjoint\\b
\\bunison\\b
\\bunite[[:lower:]]*
\\bfellow[[:lower:]]*
\\bguild\\b
\\bsolidarity\\b
\\bdevot[[:lower:]]*
\\bmember\\b
\\bcliqu[[:lower:]]*
\\bcohort\\b
\\bally\\b
\\binsider\\b
\\bforeign[[:lower:]]*
\\benem[[:lower:]]*
\\bbetray[[:lower:]]*
\\btreason[[:lower:]]*
\\btraitor[[:lower:]]*
\\btreacher[[:lower:]]*
\\bdisloyal[[:lower:]]*
\\bindividual[[:lower:]]*
\\bapostasy\\b
\\bapostate\\b
\\bdeserted\\b
\\bdeserter[[:lower:]]*
\\bdeserting\\b
\\bdeceiv[[:lower:]]*
\\bjilt[[:lower:]]*
\\bimposter\\b
\\bmiscreant\\b
\\bspy\\b
\\bsequester\\b
\\brenegade\\b
\\bterroris[[:lower:]]*
\\bimmigra[[:lower:]]*
