fairness
\\bfairly\\b
\\bfairness\\b
\\bfair[[:lower:]]*
\\bfairmind[[:lower:]]*
\\bfairplay\\b
\\bequal[[:lower:]]*
\\bjustice\\b
\\bjustness\\b
\\bjustifi[[:lower:]]*
\\breciproc[[:lower:]]*
\\bimpartial[[:lower:]]*
\\begalitar[[:lower:]]*
\\brights\\b
\\bequity\\b
\\bevenness\\b
\\bequivalent\\b
\\bunbias[[:lower:]]*
\\btolerant\\b
\\bequable\\b
\\bbalance[[:lower:]]*
\\bhomologous\\b
\\bunprejudice[[:lower:]]*
\\breasonable\\b
\\bconstant\\b
\\bhonest[[:lower:]]*
\\bunfair[[:lower:]]*
\\bunequal[[:lower:]]*
\\bbias[[:lower:]]*
\\bunjust[[:lower:]]*
\\binjust[[:lower:]]*
\\bbigot[[:lower:]]*
\\bdiscriminat[[:lower:]]*
\\bdisproportion[[:lower:]]*
\\binequitable\\b
\\bprejud[[:lower:]]*
\\bdishonest\\b
\\bunscrupulous\\b
\\bdissociate\\b
\\bpreference\\b
\\bfavoritism\\b
\\bsegregat[[:lower:]]*
\\bexclusion\\b
\\bexclud[[:lower:]]*
