ingroup
together
nation
homeland
family
families
familial
group
loyal
patriot
communal
commune
communit
communis
comrad
cadre
collectiv
joint
unison
unite
fellow
guild
solidarity
devot
member
cliqu
cohort
ally
insider
foreign
enem
betray
treason
traitor
treacher
disloyal
individual
apostasy
apostate
deserted
deserter
deserting
deceiv
jilt
imposter
miscreant
spy
sequester
renegade
terroris
immigra
