purity.vice
\\bdisgust[[:lower:]]*
\\bdeprav[[:lower:]]*
\\bdisease[[:lower:]]*
\\bunclean[[:lower:]]*
\\bcontagio[[:lower:]]*
\\bindecen[[:lower:]]*
\\bsin\\b
\\bsinful[[:lower:]]*
\\bsinner[[:lower:]]*
\\bsins\\b
\\bsinned\\b
\\bsinning\\b
\\bslut[[:lower:]]*
\\bwhore\\b
\\bdirt[[:lower:]]*
\\bimpiety\\b
\\bimpious\\b
\\bprofan[[:lower:]]*
\\bgross\\b
\\brepuls[[:lower:]]*
\\bsick[[:lower:]]*
\\bpromiscu[[:lower:]]*
\\blewd[[:lower:]]*
\\badulter[[:lower:]]*
\\bdebauche[[:lower:]]*
\\bdefile[[:lower:]]*
\\btramp\\b
\\bprostitut[[:lower:]]*
\\bunchaste\\b
\\bintemperate\\b
\\bwanton\\b
\\bprofligate\\b
\\bfilth[[:lower:]]*
\\btrashy\\b
\\bobscen[[:lower:]]*
\\blax\\b
\\btaint[[:lower:]]*
\\bstain[[:lower:]]*
\\btarnish[[:lower:]]*
\\bdebase[[:lower:]]*
\\bdesecrat[[:lower:]]*
\\bwicked[[:lower:]]*
\\bblemish\\b
\\bexploitat[[:lower:]]*
\\bpervert\\b
\\bwretched[[:lower:]]*
\\bruin[[:lower:]]*
\\bexploit\\b
\\bexploits\\b
\\bexploited\\b
\\bexploiting\\b
\\bapostasy\\b
\\bapostate\\b
\\bheretic[[:lower:]]*
