ingroup.vice
\\bforeign[[:lower:]]*
\\benem[[:lower:]]*
\\bbetray[[:lower:]]*
\\btreason[[:lower:]]*
\\btraitor[[:lower:]]*
\\btreacher[[:lower:]]*
\\bdisloyal[[:lower:]]*
\\bindividual[[:lower:]]*
\\bapostasy\\b
\\bapostate\\b
\\bdeserted\\b
\\bdeserter[[:lower:]]*
\\bdeserting\\b
\\bdeceiv[[:lower:]]*
\\bjilt[[:lower:]]*
\\bimposter\\b
\\bmiscreant\\b
\\bspy\\b
\\bsequester\\b
\\brenegade\\b
\\bterroris[[:lower:]]*
\\bimmigra[[:lower:]]*
\\babandon[[:lower:]]*
