fairness.virtue
fair
fairly
fairness
fairmind
fairplay
equal
justice
justness
justifi
reciproc
impartial
egalitar
rights
equity
evenness
equivalent
unbias
tolerant
equable
balance
homologous
unprejudice
reasonable
constant
honest
