authority.vice
\\bdefian[[:lower:]]*
\\brebel[[:lower:]]*
\\bdissent[[:lower:]]*
\\bsubver[[:lower:]]*
\\bdisrespect[[:lower:]]*
\\bdisobe[[:lower:]]*
\\bsediti[[:lower:]]*
\\bagitat[[:lower:]]*
\\binsubordinat[[:lower:]]*
\\billegal[[:lower:]]*
\\blawless[[:lower:]]*
\\binsurgent\\b
\\bmutinous\\b
\\bdefy[[:lower:]]*
\\bdissident\\b
\\bunfaithful\\b
\\balienate\\b
\\bdefector\\b
\\bheretic[[:lower:]]*
\\bnonconformist\\b
\\boppose\\b
\\bprotest\\b
\\brefuse\\b
\\bdenounce\\b
\\bremonstrate\\b
\\briot[[:lower:]]*
\\bobstruct\\b
\\bbetray[[:lower:]]*
\\btreason[[:lower:]]*
\\btraitor[[:lower:]]*
\\btreacher[[:lower:]]*
\\bdisloyal[[:lower:]]*
\\bapostasy\\b
\\bapostate\\b
\\bdeserted\\b
\\bdeserter[[:lower:]]*
\\bdeserting\\b
