purity.virtue
\\bpiety\\b
\\bpious\\b
\\bpurity\\b
\\bpure[[:lower:]]*
\\bclean[[:lower:]]*
\\bsteril[[:lower:]]*
\\bsacred[[:lower:]]*
\\bchast[[:lower:]]*
\\bholy\\b
\\bholiness\\b
\\bsaint[[:lower:]]*
\\bwholesome[[:lower:]]*
\\bceliba[[:lower:]]*
\\babstention\\b
\\bvirgin\\b
\\bvirgins\\b
\\bvirginity\\b
\\bvirginal\\b
\\bausterity\\b
\\bintegrity\\b
\\bmodesty\\b
\\babstinen[[:lower:]]*
\\babstemiousness\\b
\\bupright\\b
\\blimpid\\b
\\bunadulterated\\b
\\bmaiden\\b
\\bvirtuous\\b
\\brefined\\b
\\bdecen[[:lower:]]*
\\bimmaculate\\b
\\binnocent\\b
\\bpristine\\b
\\bchurch[[:lower:]]*
\\bpreserve\\b
