purity.virtue
piety
pious
purity
pure
clean
steril
sacred
chast
holy
holiness
saint
wholesome
celiba
abstention
virgin
virgins
virginity
virginal
austerity
integrity
modesty
abstinen
abstemiousness
upright
limpid
unadulterated
maiden
virtuous
refined
decen
immaculate
innocent
pristine
church
preserve
