general
\\<righteous[[:lower:]]*
\\<moral[[:lower:]]*          
\\<ethic[[:lower:]]*          
\\<value[[:lower:]]*          
\\<upstanding\\>      
\\<good\\>            
\\<goodness\\>        
\\<principle[[:lower:]]*      
\\<blameless\\>
\\<exemplary\\>
\\<lesson\\>
\\<canon\\>
\\<doctrine\\>
\\<noble\\>
\\<worth[[:lower:]]*
\\<ideal[[:lower:]]*
\\<praiseworthy\\>
\\<commendable\\>
\\<character\\>
\\<proper\\>
\\<laudable\\>
\\<correct\\>
\\<wrong[[:lower:]]*
\\<evil\\>
\\<immoral[[:lower:]]*
\\<bad\\>
\\<offend[[:lower:]]*
\\<offensive[[:lower:]]*
\\<transgress[[:lower:]]*
\\<honest[[:lower:]]*
\\<lawful[[:lower:]]*
\\<legal[[:lower:]]*
\\<piety\\>
\\<pious\\>
\\<wholesome[[:lower:]]*
\\<integrity\\>
\\<upright\\>
\\<decen[[:lower:]]*
\\<indecen[[:lower:]]*
\\<wicked[[:lower:]]*
\\<wretched[[:lower:]]*
