authority.vice
\\<defian[[:lower:]]*
\\<rebel[[:lower:]]*
\\<dissent[[:lower:]]*
\\<subver[[:lower:]]*
\\<disrespect[[:lower:]]*
\\<disobe[[:lower:]]*
\\<sediti[[:lower:]]*
\\<agitat[[:lower:]]*
\\<insubordinat[[:lower:]]*
\\<illegal[[:lower:]]*
\\<lawless[[:lower:]]*
\\<insurgent\\>
\\<mutinous\\>
\\<defy[[:lower:]]*
\\<dissident\\>
\\<unfaithful\\>
\\<alienate\\>
\\<defector\\>
\\<heretic[[:lower:]]*
\\<nonconformist\\>
\\<oppose\\>
\\<protest\\>
\\<refuse\\>
\\<denounce\\>
\\<remonstrate\\>
\\<riot[[:lower:]]*
\\<obstruct\\>
\\<betray[[:lower:]]*
\\<treason[[:lower:]]*
\\<traitor[[:lower:]]*
\\<treacher[[:lower:]]*
\\<disloyal[[:lower:]]*
\\<apostasy\\>
\\<apostate\\>
\\<deserted\\>
\\<deserter[[:lower:]]*
\\<deserting\\>
