fairness.virtue
\\<fair\\>
\\<fairly\\>
\\<fairness\\>
\\<fair-[[:lower:]]*
\\<fairmind[[:lower:]]*
\\<fairplay\\>
\\<equal[[:lower:]]*
\\<justice\\>
\\<justness\\>
\\<justifi[[:lower:]]*
\\<reciproc[[:lower:]]*
\\<impartial[[:lower:]]*
\\<egalitar[[:lower:]]*
\\<rights\\>
\\<equity\\>
\\<evenness\\>
\\<equivalent\\>
\\<unbias[[:lower:]]*
\\<tolerant\\>
\\<equable\\>
\\<balance[[:lower:]]*
\\<homologous\\>
\\<unprejudice[[:lower:]]*
\\<reasonable\\>
\\<constant\\>
\\<honest[[:lower:]]*
