purity.virtue
\\<piety\\>
\\<pious\\>
\\<purity\\>
\\<pure[[:lower:]]*
\\<clean[[:lower:]]*
\\<steril[[:lower:]]*
\\<sacred[[:lower:]]*
\\<chast[[:lower:]]*
\\<holy\\>
\\<holiness\\>
\\<saint[[:lower:]]*
\\<wholesome[[:lower:]]*
\\<celiba[[:lower:]]*
\\<abstention\\>
\\<virgin\\>
\\<virgins\\>
\\<virginity\\>
\\<virginal\\>
\\<austerity\\>
\\<integrity\\>
\\<modesty\\>
\\<abstinen[[:lower:]]*
\\<abstemiousness\\>
\\<upright\\>
\\<limpid\\>
\\<unadulterated\\>
\\<maiden\\>
\\<virtuous\\>
\\<refined\\>
\\<decen[[:lower:]]*
\\<immaculate\\>
\\<innocent\\>
\\<pristine\\>
\\<church[[:lower:]]*
\\<preserve\\>
