fairness.vice
\\<unfair[[:lower:]]*
\\<unequal[[:lower:]]*
\\<bias[[:lower:]]*
\\<unjust[[:lower:]]*
\\<injust[[:lower:]]*
\\<bigot[[:lower:]]*
\\<discriminat[[:lower:]]*
\\<disproportion[[:lower:]]*
\\<inequitable\\>
\\<prejud[[:lower:]]*
\\<dishonest\\>
\\<unscrupulous\\>
\\<dissociate\\>
\\<preference\\>
\\<favoritism\\>
\\<segregat[[:lower:]]*
\\<exclusion\\>
\\<exclud[[:lower:]]*
