harm.virtue
\\bsafe[[:lower:]]*
\\bpeace[[:lower:]]*
\\bcompassion[[:lower:]]*
\\bempath[[:lower:]]*
\\bsympath[[:lower:]]*
\\bcare\\b
\\bcaring\\b
\\bprotect[[:lower:]]*
\\bshield\\b
\\bshelter\\b
\\bamity\\b
\\bsecur[[:lower:]]*
\\bbenefit[[:lower:]]*        
\\bdefen[[:lower:]]*
\\bguard[[:lower:]]*
\\bpreserve\\b
