purity.vice
\\<disgust[[:lower:]]*
\\<deprav[[:lower:]]*
\\<disease[[:lower:]]*
\\<unclean[[:lower:]]*
\\<contagio[[:lower:]]*
\\<indecen[[:lower:]]*
\\<sin\\>
\\<sinful[[:lower:]]*
\\<sinner[[:lower:]]*
\\<sins\\>
\\<sinned\\>
\\<sinning\\>
\\<slut[[:lower:]]*
\\<whore\\>
\\<dirt[[:lower:]]*
\\<impiety\\>
\\<impious\\>
\\<profan[[:lower:]]*
\\<gross\\>
\\<repuls[[:lower:]]*
\\<sick[[:lower:]]*
\\<promiscu[[:lower:]]*
\\<lewd[[:lower:]]*
\\<adulter[[:lower:]]*
\\<debauche[[:lower:]]* 
\\<defile[[:lower:]]*
\\<tramp\\>
\\<prostitut[[:lower:]]*
\\<unchaste\\>
\\<intemperate\\>
\\<wanton\\>
\\<profligate\\>
\\<filth[[:lower:]]* 
\\<trashy\\>
\\<obscen[[:lower:]]*
\\<lax\\>
\\<taint[[:lower:]]*
\\<stain[[:lower:]]*
\\<tarnish[[:lower:]]*
\\<debase[[:lower:]]*
\\<desecrat[[:lower:]]*
\\<wicked[[:lower:]]*
\\<blemish\\>
\\<exploitat[[:lower:]]*
\\<pervert\\>
\\<wretched[[:lower:]]*
\\<ruin[[:lower:]]*
\\<exploit\\>
\\<exploits\\>
\\<exploited\\>
\\<exploiting\\>
\\<apostasy\\>
\\<apostate\\>
\\<heretic[[:lower:]]*
