harm.vice
\\<harm[[:lower:]]*
\\<suffer[[:lower:]]*
\\<war\\>
\\<wars\\>
\\<warl[[:lower:]]*
\\<warring\\>
\\<fight[[:lower:]]*
\\<violen[[:lower:]]*
\\<hurt[[:lower:]]*
\\<kill\\>
\\<kills\\>
\\<killer[[:lower:]]*
\\<killed\\>
\\<killing\\>
\\<endanger[[:lower:]]*
\\<cruel[[:lower:]]*
\\<brutal[[:lower:]]*
\\<abuse[[:lower:]]*
\\<damag[[:lower:]]*
\\<ruin[[:lower:]]*
\\<ravage\\>
\\<detriment[[:lower:]]*
\\<crush[[:lower:]]*
\\<attack[[:lower:]]*
\\<annihilate[[:lower:]]*
\\<destroy\\>
\\<stomp\\>
\\<abandon[[:lower:]]*
\\<spurn\\>
\\<impair\\>
\\<exploit\\>
\\<exploits\\>
\\<exploited\\>
\\<exploiting\\>
\\<wound[[:lower:]]*
