ingroup.vice
\\<foreign[[:lower:]]*
\\<enem[[:lower:]]*
\\<betray[[:lower:]]*
\\<treason[[:lower:]]*
\\<traitor[[:lower:]]*
\\<treacher[[:lower:]]*
\\<disloyal[[:lower:]]*
\\<individual[[:lower:]]*
\\<apostasy\\>
\\<apostate\\>
\\<deserted\\>
\\<deserter[[:lower:]]*
\\<deserting\\>
\\<deceiv[[:lower:]]*
\\<jilt[[:lower:]]*
\\<imposter\\>
\\<miscreant\\>
\\<spy\\>
\\<sequester\\>
\\<renegade\\>
\\<terroris[[:lower:]]*
\\<immigra[[:lower:]]*
\\<abandon[[:lower:]]*
