ingroup.virtue
\\<together\\>
\\<nation[[:lower:]]*
\\<homeland[[:lower:]]*
\\<family\\>
\\<families\\>
\\<familial\\>
\\<group\\>
\\<loyal[[:lower:]]*
\\<patriot[[:lower:]]*
\\<communal\\>
\\<commune[[:lower:]]*
\\<communit[[:lower:]]*
\\<communis[[:lower:]]*
\\<comrad[[:lower:]]*
\\<cadre\\>
\\<collectiv[[:lower:]]*
\\<joint\\>
\\<unison\\>
\\<unite[[:lower:]]*
\\<fellow[[:lower:]]*
\\<guild\\>
\\<solidarity\\>
\\<devot[[:lower:]]*
\\<member\\>
\\<cliqu[[:lower:]]*
\\<cohort\\>
\\<ally\\>
\\<insider\\>
\\<segregat[[:lower:]]*
