fairness
fairly
fairness
fair
fairmind
fairplay
equal
justice
justness
justifi
reciproc
impartial
egalitar
rights
equity
evenness
equivalent
unbias
tolerant
equable
balance
homologous
unprejudice
reasonable
constant
honest
unfair
unequal
bias
unjust
injust
bigot
discriminat
disproportion
inequitable
prejud
dishonest
unscrupulous
dissociate
preference
favoritism
segregat
exclusion
exclud
