ingroup
\\<together\\>
\\<nation[[:lower:]]*
\\<homeland[[:lower:]]*
\\<family\\>
\\<families\\>
\\<familial\\>
\\<group\\>
\\<loyal[[:lower:]]*
\\<patriot[[:lower:]]*
\\<communal\\>
\\<commune[[:lower:]]*
\\<communit[[:lower:]]*
\\<communis[[:lower:]]*
\\<comrad[[:lower:]]*
\\<cadre\\>
\\<collectiv[[:lower:]]*
\\<joint\\>
\\<unison\\>
\\<unite[[:lower:]]*
\\<fellow[[:lower:]]*
\\<guild\\>
\\<solidarity\\>
\\<devot[[:lower:]]*
\\<member\\>
\\<cliqu[[:lower:]]*
\\<cohort\\>
\\<ally\\>
\\<insider\\>
\\<foreign[[:lower:]]*
\\<enem[[:lower:]]*
\\<betray[[:lower:]]*
\\<treason[[:lower:]]*
\\<traitor[[:lower:]]*
\\<treacher[[:lower:]]*
\\<disloyal[[:lower:]]*
\\<individual[[:lower:]]*
\\<apostasy\\>
\\<apostate\\>
\\<deserted\\>
\\<deserter[[:lower:]]*
\\<deserting\\>
\\<deceiv[[:lower:]]*
\\<jilt[[:lower:]]*
\\<imposter\\>
\\<miscreant\\>
\\<spy\\>
\\<sequester\\>
\\<renegade\\>
\\<terroris[[:lower:]]*
\\<immigra[[:lower:]]*
