harm
\\bsafe[[:lower:]]*
\\bpeace[[:lower:]]*
\\bcompassion[[:lower:]]*
\\bempath[[:lower:]]*
\\bsympath[[:lower:]]*
\\bcare\\b
\\bcaring\\b
\\bprotect[[:lower:]]*
\\bshield\\b
\\bshelter\\b
\\bamity\\b
\\bsecur[[:lower:]]*
\\bbenefit[[:lower:]]*
\\bdefen[[:lower:]]*
\\bguard[[:lower:]]*
\\bpreserve\\b
\\bharm[[:lower:]]*
\\bsuffer[[:lower:]]*
\\bwar\\b
\\bwars\\b
\\bwarl[[:lower:]]*
\\bwarring\\b
\\bfight[[:lower:]]*
\\bviolen[[:lower:]]*
\\bhurt[[:lower:]]*
\\bkill\\b
\\bkills\\b
\\bkiller[[:lower:]]*
\\bkilled\\b
\\bkilling\\b
\\bendanger[[:lower:]]*
\\bcruel[[:lower:]]*
\\bbrutal[[:lower:]]*
\\babuse[[:lower:]]*
\\bdamag[[:lower:]]*
\\bruin[[:lower:]]*
\\bravage\\b
\\bdetriment[[:lower:]]*
\\bcrush[[:lower:]]*
\\battack[[:lower:]]*
\\bannihilate[[:lower:]]*
\\bdestroy\\b
\\bstomp\\b
\\babandon[[:lower:]]*
\\bspurn\\b
\\bimpair\\b
\\bexploit\\b
\\bexploits\\b
\\bexploited\\b
\\bexploiting\\b
\\bwound[[:lower:]]*
