fairness
\\<fair\\>
\\<fairly\\>
\\<fairness\\>
\\<fair[[:lower:]]*
\\<fairmind[[:lower:]]*
\\<fairplay\\>
\\<equal[[:lower:]]*
\\<justice\\>
\\<justness\\>
\\<justifi[[:lower:]]*
\\<reciproc[[:lower:]]*
\\<impartial[[:lower:]]*
\\<egalitar[[:lower:]]*
\\<rights\\>
\\<equity\\>
\\<evenness\\>
\\<equivalent\\>
\\<unbias[[:lower:]]*
\\<tolerant\\>
\\<equable\\>
\\<balance[[:lower:]]*
\\<homologous\\>
\\<unprejudice[[:lower:]]*
\\<reasonable\\>
\\<constant\\>
\\<honest[[:lower:]]*
\\<unfair[[:lower:]]*
\\<unequal[[:lower:]]*
\\<bias[[:lower:]]*
\\<unjust[[:lower:]]*
\\<injust[[:lower:]]*
\\<bigot[[:lower:]]*
\\<discriminat[[:lower:]]*
\\<disproportion[[:lower:]]*
\\<inequitable\\>
\\<prejud[[:lower:]]*
\\<dishonest\\>
\\<unscrupulous\\>
\\<dissociate\\>
\\<preference\\>
\\<favoritism\\>
\\<segregat[[:lower:]]*
\\<exclusion\\>
\\<exclud[[:lower:]]*
