harm
\\<safe[[:lower:]]*
\\<peace[[:lower:]]*
\\<compassion[[:lower:]]*
\\<empath[[:lower:]]*
\\<sympath[[:lower:]]*
\\<care\\>
\\<caring\\>
\\<protect[[:lower:]]*
\\<shield\\>
\\<shelter\\>
\\<amity\\>
\\<secur[[:lower:]]*
\\<benefit[[:lower:]]*
\\<defen[[:lower:]]*
\\<guard[[:lower:]]*
\\<preserve\\>
\\<harm[[:lower:]]*
\\<suffer[[:lower:]]*
\\<war\\>
\\<wars\\>
\\<warl[[:lower:]]*
\\<warring\\>
\\<fight[[:lower:]]*
\\<violen[[:lower:]]*
\\<hurt[[:lower:]]*
\\<kill\\>
\\<kills\\>
\\<killer[[:lower:]]*
\\<killed\\>
\\<killing\\>
\\<endanger[[:lower:]]*
\\<cruel[[:lower:]]*
\\<brutal[[:lower:]]*
\\<abuse[[:lower:]]*
\\<damag[[:lower:]]*
\\<ruin[[:lower:]]*
\\<ravage\\>
\\<detriment[[:lower:]]*
\\<crush[[:lower:]]*
\\<attack[[:lower:]]*
\\<annihilate[[:lower:]]*
\\<destroy\\>
\\<stomp\\>
\\<abandon[[:lower:]]*
\\<spurn\\>
\\<impair\\>
\\<exploit\\>
\\<exploits\\>
\\<exploited\\>
\\<exploiting\\>
\\<wound[[:lower:]]*
