purity
\\<piety\\>
\\<pious\\>
\\<purity\\>
\\<pure[[:lower:]]*
\\<clean[[:lower:]]*
\\<steril[[:lower:]]*
\\<sacred[[:lower:]]*
\\<chast[[:lower:]]*
\\<holy\\>
\\<holiness\\>
\\<saint[[:lower:]]*
\\<wholesome[[:lower:]]*
\\<celiba[[:lower:]]*
\\<abstention\\>
\\<virgin\\>
\\<virgins\\>
\\<virginity\\>
\\<virginal\\>
\\<austerity\\>
\\<integrity\\>
\\<modesty\\>
\\<abstinen[[:lower:]]*
\\<abstemiousness\\>
\\<upright\\>
\\<limpid\\>
\\<unadulterated\\>
\\<maiden\\>
\\<virtuous\\>
\\<refined\\>
\\<intemperate\\>
\\<decen[[:lower:]]*
\\<immaculate\\>
\\<innocent\\>
\\<pristine\\>
\\<humble\\>
\\<disgust[[:lower:]]*
\\<deprav[[:lower:]]*
\\<disease[[:lower:]]*
\\<unclean[[:lower:]]*
\\<contagio[[:lower:]]*
\\<indecen[[:lower:]]*
\\<sin\\>
\\<sinful[[:lower:]]*
\\<sinner[[:lower:]]*
\\<sins\\>
\\<sinned\\>
\\<sinning\\>
\\<slut[[:lower:]]*
\\<whore\\>
\\<dirt[[:lower:]]*
\\<impiety\\>
\\<impious\\>
\\<profan[[:lower:]]*
\\<gross\\>
\\<repuls[[:lower:]]*
\\<sick[[:lower:]]*
\\<promiscu[[:lower:]]*
\\<lewd[[:lower:]]*
\\<adulter[[:lower:]]*
\\<debauche[[:lower:]]*
\\<defile[[:lower:]]*
\\<tramp\\>
\\<prostitut[[:lower:]]*
\\<unchaste\\>
\\<wanton\\>
\\<profligate\\>
\\<filth[[:lower:]]*
\\<trashy\\>
\\<obscen[[:lower:]]*
\\<lax\\>
\\<taint[[:lower:]]*
\\<stain[[:lower:]]*
\\<tarnish[[:lower:]]*
\\<debase[[:lower:]]*
\\<desecrat[[:lower:]]*
\\<wicked[[:lower:]]*
\\<blemish\\>
\\<exploitat[[:lower:]]*
\\<pervert\\>
\\<wretched\\>
