authority
\\<obey[[:lower:]]*
\\<obedien[[:lower:]]*
\\<duty\\>
\\<law\\>
\\<lawful[[:lower:]]*
\\<legal[[:lower:]]*
\\<duti[[:lower:]]*
\\<honor[[:lower:]]*
\\<respect\\>
\\<respectful[[:lower:]]*
\\<respected\\>
\\<respects\\>
\\<order[[:lower:]]*
\\<father[[:lower:]]*
\\<mother\\>
\\<motherl[[:lower:]]*
\\<mothering\\>
\\<mothers\\>
\\<tradition[[:lower:]]*
\\<hierarch[[:lower:]]*
\\<authorit[[:lower:]]*
\\<permit\\>
\\<permission\\>
\\<status[[:lower:]]*
\\<rank[[:lower:]]*
\\<leader[[:lower:]]*
\\<class\\>
\\<bourgeoisie\\>
\\<caste[[:lower:]]*
\\<position\\>
\\<complian[[:lower:]]*
\\<command\\>
\\<supremacy\\>
\\<control\\>
\\<submi[[:lower:]]*
\\<allegian[[:lower:]]*
\\<serve\\>
\\<abide\\>
\\<defere[[:lower:]]*
\\<defer\\>
\\<revere[[:lower:]]*
\\<venerat[[:lower:]]*
\\<comply\\>
\\<defian[[:lower:]]*
\\<rebel[[:lower:]]*
\\<dissent[[:lower:]]*
\\<subver[[:lower:]]*
\\<disrespect[[:lower:]]*
\\<disobe[[:lower:]]*
\\<sediti[[:lower:]]*
\\<agitat[[:lower:]]*
\\<insubordinat[[:lower:]]*
\\<illegal[[:lower:]]*
\\<lawless[[:lower:]]*
\\<insurgent\\>
\\<mutinous\\>
\\<defy[[:lower:]]*
\\<dissident\\>
\\<unfaithful\\>
\\<alienate\\>
\\<defector\\>
\\<heretic[[:lower:]]*
\\<nonconformist\\>
\\<oppose\\>
\\<protest\\>
\\<refuse\\>
\\<denounce\\>
\\<remonstrate\\>
\\<riot[[:lower:]]*
\\<obstruct\\>
