ingroup.virtue
\\btogether\\b
\\bnation[[:lower:]]*
\\bhomeland[[:lower:]]*
\\bfamily\\b
\\bfamilies\\b
\\bfamilial\\b
\\bgroup\\b
\\bloyal[[:lower:]]*
\\bpatriot[[:lower:]]*
\\bcommunal\\b
\\bcommune[[:lower:]]*
\\bcommunit[[:lower:]]*
\\bcommunis[[:lower:]]*
\\bcomrad[[:lower:]]*
\\bcadre\\b
\\bcollectiv[[:lower:]]*
\\bjoint\\b
\\bunison\\b
\\bunite[[:lower:]]*
\\bfellow[[:lower:]]*
\\bguild\\b
\\bsolidarity\\b
\\bdevot[[:lower:]]*
\\bmember\\b
\\bcliqu[[:lower:]]*
\\bcohort\\b
\\bally\\b
\\binsider\\b
\\bsegregat[[:lower:]]*
