ingroup.virtue
together
nation
homeland
family
families
familial
group
loyal
patriot
communal
commune
communit
communis
comrad
cadre
collectiv
joint
unison
unite
fellow
guild
solidarity
devot
member
cliqu
cohort
ally
insider
segregat
