general
\\brighteous[[:lower:]]*
\\bmoral[[:lower:]]*          
\\bethic[[:lower:]]*          
\\bvalue[[:lower:]]*          
\\bupstanding\\b      
\\bgood\\b            
\\bgoodness\\b        
\\bprinciple[[:lower:]]*      
\\bblameless\\b
\\bexemplary\\b
\\blesson\\b
\\bcanon\\b
\\bdoctrine\\b
\\bnoble\\b
\\bworth[[:lower:]]*
\\bideal[[:lower:]]*
\\bpraiseworthy\\b
\\bcommendable\\b
\\bcharacter\\b
\\bproper\\b
\\blaudable\\b
\\bcorrect\\b
\\bwrong[[:lower:]]*
\\bevil\\b
\\bimmoral[[:lower:]]*
\\bbad\\b
\\boffend[[:lower:]]*
\\boffensive[[:lower:]]*
\\btransgress[[:lower:]]*
\\bhonest[[:lower:]]*
\\blawful[[:lower:]]*
\\blegal[[:lower:]]*
\\bpiety\\b
\\bpious\\b
\\bwholesome[[:lower:]]*
\\bintegrity\\b
\\bupright\\b
\\bdecen[[:lower:]]*
\\bindecen[[:lower:]]*
\\bwicked[[:lower:]]*
\\bwretched[[:lower:]]*
