fairness.virtue
\\bfair-?[[:lower:]]*
\\bfairly\\b
\\bfairness\\b
\\bfairmind[[:lower:]]*
\\bfairplay\\b
\\bequal[[:lower:]]*
\\bjustice\\b
\\bjustness\\b
\\bjustifi[[:lower:]]*
\\breciproc[[:lower:]]*
\\bimpartial[[:lower:]]*
\\begalitar[[:lower:]]*
\\brights\\b
\\bequity\\b
\\bevenness\\b
\\bequivalent\\b
\\bunbias[[:lower:]]*
\\btolerant\\b
\\bequable\\b
\\bbalance[[:lower:]]*
\\bhomologous\\b
\\bunprejudice[[:lower:]]*
\\breasonable\\b
\\bconstant\\b
\\bhonest[[:lower:]]*
