general
righteous
moral          
ethic          
value          
upstanding      
good            
goodness        
principle      
blameless
exemplary
lesson
canon
doctrine
noble
worth
ideal
praiseworthy
commendable
character
proper
laudable
correct
wrong
evil
immoral
bad
offend
offensive
transgress
honest
lawful
legal
piety
pious
wholesome
integrity
upright
decen
indecen
wicked
wretched
