authority.virtue
\\bobey[[:lower:]]*
\\bobedien[[:lower:]]*
\\bduty\\b
\\blaw\\b
\\blawful[[:lower:]]*
\\blegal[[:lower:]]*
\\bduti[[:lower:]]*
\\bhonor[[:lower:]]*
\\brespect\\b
\\brespectful[[:lower:]]*
\\brespected\\b
\\brespects\\b
\\border[[:lower:]]*
\\bfather[[:lower:]]*
\\bmother\\b
\\bmotherl[[:lower:]]*
\\bmothering\\b
\\bmothers\\b
\\btradition[[:lower:]]*
\\bhierarch[[:lower:]]*
\\bauthorit[[:lower:]]*
\\bpermit\\b
\\bpermission\\b
\\bstatus[[:lower:]]*
\\brank[[:lower:]]*
\\bleader[[:lower:]]*
\\bclass\\b
\\bbourgeoisie\\b
\\bcaste[[:lower:]]*
\\bposition\\b
\\bcomplian[[:lower:]]*
\\bcommand\\b
\\bsupremacy\\b
\\bcontrol\\b
\\bsubmi[[:lower:]]*
\\ballegian[[:lower:]]*
\\bserve\\b
\\babide\\b
\\bdefere[[:lower:]]*
\\bdefer\\b
\\brevere[[:lower:]]*
\\bvenerat[[:lower:]]*
\\bcomply\\b
\\bpreserve\\b
\\bloyal[[:lower:]]*
